ASPRequiredOptionalDerived,BusinessLine,DataElementLabel,Definition,Definition,ElementNumber,ElementOrder,ExampleValue,FAADS+ElementNumber,FPDSDefinition,FPDSElementLabel,FPDSElementNumber,FSRSElementName,Grouping,Instructions,MaxFieldLength,RequiredOptional,SAMElementName(ReferenceSAMDataDictionaryv7),Unnamed:12,Unnamed:13,ValidDataType,ValidationRules,file,DataCategory
,,Fair Opportunity Limited Sources,,"A code indicating a statutory exception to Fair Opportunity, used awarding a non competitive task order or delivery order exceeding $2500.00 against an IDIQ contract.",194,97,,,"A code indicating a statutory exception to Fair Opportunity, used awarding a non competitive task order or delivery order exceeding $2500.00 against an IDIQ contract.",Fair Opportunity/Limited Sources,10R,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Subcontracting Plan,,Subcontracting plan requirement. (See FAR Part 19.702).,195,98,,,Subcontracting plan requirement. (See FAR Part 19.702).,Subcontracting Plan,11B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,"Program, System, or Equipment Code",,"Two codes that together identify the program and weapons system or equipment purchased by a DoD agency. The first character is a number 1-4 that identifies the DoD component. The last 3 characters identify that component's program, system, or equipment.",196,99,,,"Two codes that together identify the program and weapons system or equipment purchased by a DoD agency. The first character is a number 1-4 that identifies the DoD component. The last 3 characters identify that component's program, system, or equipment.","Program, System, or Equipment Code",8B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,U.S. Tribal Government,,"List characteristic of the contractor such as whether the selected contractor is a Tribal Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",197,116,,,"List characteristic of the contractor such as whether the selected contractor is a Tribal Government Organization or not. It can be derived from the SAM data element, 'Business Types'.",U.S. Tribal Government,13L,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Type of IDC,,"Indicates whether the contract is one of many that resulted from a single solicitation, all of the contracts are for the same or similar items, and contracting officers are 'True to compare their requirements with the offerings under more than one contract or are 'True to acquire the requirement competitively among the awardees. BPA 'Multiple or Single Award IDV' value does not pull the 'Multiple or Single Award IDV' value of the referenced FSS to the BPA. The 'Multiple or Single Award IDV' value shall be 'True and selected by the user for all BPA bases created.",198,54,,,"Indicates whether the contract is one of many that resulted from a single solicitation, all of the contracts are for the same or similar items, and contracting officers are 'True to compare their requirements with the offerings under more than one contract or are 'True to acquire the requirement competitively among the awardees. BPA 'Multiple or Single Award IDV' value does not pull the 'Multiple or Single Award IDV' value of the referenced FSS to the BPA. The 'Multiple or Single Award IDV' value shall be 'True and selected by the user for all BPA bases created.",Type of IDC,6D,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Type Set Aside,,The designator for type of set aside determined for the contract action.,199,100,,,The designator for type of set aside determined for the contract action.,Type Set Aside,10N,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,EPA-Designated Product,,"The Resource Conservation and Recovery Act (RCRA), Section 6002, and Executive Order 13101 require the purchase of Environmental Protection Agency (EPA) -designated products with a required minimum recovered material content as described in an agency's Affirmative Procurement Program (APP). This list of EPA-designated products is available at http://www.epa.gov/cpg. This requirement applies to all contracts that require EPA-designated products.",200,101,,,"The Resource Conservation and Recovery Act (RCRA), Section 6002, and Executive Order 13101 require the purchase of Environmental Protection Agency (EPA) -designated products with a required minimum recovered material content as described in an agency's Affirmative Procurement Program (APP). This list of EPA-designated products is available at http://www.epa.gov/cpg. This requirement applies to all contracts that require EPA-designated products.",EPA-Designated Product(s),8K,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Vendor Doing As Business Name,,The doing as business name of the contractor address.,203,50,,,The doing as business name of the contractor address.,Vendor Doing As Business Name,13HH,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Veteran Owned Business,,"List characteristic of the contractor such as whether the selected contractor is a Veteran Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",205,161,,,"List characteristic of the contractor such as whether the selected contractor is a Veteran Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",Veteran Owned Business,13V,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Walsh Healey Act,,Indicates whether the transaction is subject to the Walsh Healey Act.,206,102,,,Indicates whether the transaction is subject to the Walsh Healey Act.,Walsh Healey Act,7B,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Woman Owned business,,"List characteristic of the contractor such as whether the selected contractor is a Woman Owned Business or not. It can be derived from the SAM data element, 'Business Types'.",207,155,,,"List characteristic of the contractor such as whether the selected contractor is a
Woman Owned Business or not. It can be derived from the SAM data element,
'Business Types'.",Woman Owned business,13U,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Transaction Number,,"Tie Breaker for legal, unique transactions that would otherwise have the same key.",224,103,,,"Tie Breaker for legal, unique transactions that would otherwise have the same key.",Transaction Number,1D,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Alaskan Native Servicing Institution,,https://www.sam.gov,251,146,,,https://www.sam.gov,Alaskan Native Servicing Institution,13SF,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Native Hawaiian Servicing Institution,,https://www.sam.gov,252,148,,,https://www.sam.gov,Native Hawaiian Servicing Institution,13SG,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Domestic or Foreign Entity,,Code that indicates vendor entity,253,193,,,Code that indicates vendor entity,Domestic or Foreign Entity,8Q,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,LegalEntityStateDescription,,The state of the contractor address.,5(D)(ii),194,,,The state of the contractor address.,Vendor Address State,13NN,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Awardee and Recipient Entity Information
,,PrimaryPlaceOfPerformanceCityName,,The name of the city where the predominant performance of the award will be accomplished,30(C),195,,,The name that identifies the principal place of performance.,Principal Place of Performance Name,9D,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Award Characteristic Information
,,LastModifiedDate,,The last modified date captures the change date.,247,196,,,N/A,N/A,N/A,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),System Information
,,Referenced IDV Modification Number,,"When reporting orders under Indefinite Delivery Vehicles (IDV) such as a GWAC, IDC, FSS, BOA, or BPA, report the Modification Number along with Procurement Instrument Identifier (Contract Number or Agreement Number) of the IDV. For the initial load of a BPA under a FSS, this is the FSS contract number. Note: BOAs and BPAs are with industry and not with other Federal Agencies",254,191,,,"When reporting orders under Indefinite Delivery Vehicles (IDV) such as a GWAC, IDC, FSS, BOA, or BPA, report the Modification Number along with Procurement Instrument Identifier (Contract Number or Agreement Number) of the IDV. For the initial load of a BPA under a FSS, this is the FSS contract number. Note: BOAs and BPAs are with industry and not with other Federal Agencies",Referenced IDV Modification Number,1G,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Economically Disadvantaged Women Owned Small Business,,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.",112(A),158,,,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.",Economically Disadvantaged Women Owned Small Business,13UC,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Joint Venture Women Owned Small Business,,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.",112(B),159,,,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.",Joint Venture Women Owned Small Business,13UD,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,Joint Venture Economically Disadvantaged Women Owned Small Business,,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.",112(C),160,,,"https://www.sam.gov OR List characteristic of the contractor such as whether the selected contractor is an Economically Disadvantaged Woman Owned Small Business or not. It can be derived from the SAM data element, 'Business Types'.",Joint Venture Economically Disadvantaged Women Owned Small Business,13UE,,,,,Extracted,,,,,,File D1 - Award and Awardee Attributes (Procurement),Procurement FPDS-NG
,,CorrectionLateDeleteIndicator,,A code to indicate how the record should be processed: correction to an existing record; deletion of a record; new record.,242,8,C,27,,,,,,"Element value must be a valid enumeration. This is listed in the 'Domain_Values.xlsx' spreadsheet, in the 'Enumeration Types' tab.",1,Optional,N/A,,,string,D1,File D2 - Award and Awardee Attributes (Financial Assistance),Procurement FPDS-NG
,,FiscalYearAndQuarterCorrection,,Numeric designation of the fiscal year and quarter to which the corrected or late record applies.,243,9,20163,28,,,,,,"Should be in YYYYQ format, where Q represents the quarter and takes the value 1, 2, 3, or 4.",5,Optional,N/A,,,string,D8,File D2 - Award and Awardee Attributes (Financial Assistance),Procurement FPDS-NG
